Rank,Ticker,Sector,Industry,Universe,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
182,CPRI,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",S&P 400,200.64,86,85,94,97
183,AGO,Financials,Property & Casualty Insurance,S&P 600,196.66,86,90,82,78
184,VSTO,Consumer Discretionary,Leisure Products,S&P 600,196.63,86,92,94,88
185,CNXC,Information Technology,Data Processing & Outsourced Services,S&P 400,196.6,86,84,69,61
186,KRA,Materials,Specialty Chemicals,S&P 600,195.87,86,89,68,94
187,PARR,Energy,Oil & Gas Refining & Marketing,S&P 600,195.61,86,55,83,66
188,IRT,Real Estate,Residential REITs,S&P 600,194.55,86,87,87,58
189,GS,Financials,Investment Banking & Brokerage,S&P 500,194.1,86,89,85,73
190,LAMR,Real Estate,Specialized REITs,S&P 400,193.91,86,72,70,58
191,BYD,Consumer Discretionary,Casinos & Gaming,S&P 400,191.83,86,85,84,97
192,BRKS,Information Technology,Semiconductor Equipment,S&P 400,191.33,86,78,76,93
193,GOOG,Communication Services,Interactive Media & Services,S&P 500,190.95,86,91,85,63
194,UIS,Information Technology,IT Consulting & Other Services,S&P 600,190.79,85,68,67,76
195,ADNT,Consumer Discretionary,Auto Parts & Equipment,S&P 400,190.3,85,64,80,96
196,ISBC,Financials,Regional Banks,S&P 600,190.06,85,70,53,76
197,ULTA,Consumer Discretionary,Specialty Stores,S&P 500,188.69,85,81,69,53
198,PAYC,Information Technology,Application Software,S&P 500,187.88,85,87,23,34
199,EXLS,Information Technology,Data Processing & Outsourced Services,S&P 600,187.54,85,89,74,46
200,IIPR,Real Estate,Industrial REITs,S&P 600,187.27,85,88,87,70
201,REG,Real Estate,Retail REITs,S&P 500,186.56,85,80,80,64
202,RGP,Industrials,Research & Consulting Services,S&P 600,185.87,85,46,67,31
203,HFC,Energy,Oil & Gas Refining & Marketing,S&P 400,185.83,85,35,18,40
204,SF,Financials,Investment Banking & Brokerage,S&P 400,185.58,85,80,79,85
205,DFS,Financials,Consumer Finance,S&P 500,185.39,85,88,94,87
206,FBNC,Financials,Regional Banks,S&P 600,184.76,85,66,62,75
207,FBC,Financials,Thrifts & Mortgage Finance,S&P 600,184.75,84,76,40,61
208,CLH,Industrials,Environmental & Facilities Services,S&P 400,184.54,84,81,69,51
209,STLD,Materials,Steel,S&P 400,184.23,84,89,92,87
210,AN,Consumer Discretionary,Automotive Retail,S&P 400,183.77,84,96,92,87
211,CPT,Real Estate,Residential REITs,S&P 400,181.95,84,85,85,37
212,EXTR,Information Technology,Communications Equipment,S&P 600,180.77,84,81,92,94
213,OFG,Financials,Regional Banks,S&P 600,180.41,84,76,53,77
214,AM,Energy,Oil & Gas Storage & Transportation,S&P 400,178.94,84,74,80,55
215,SGH,Information Technology,Semiconductors,S&P 600,178.76,84,82,71,81
216,LSI,Real Estate,Specialized REITs,S&P 400,178.3,84,88,84,43
217,KIM,Real Estate,Retail REITs,S&P 500,178.19,84,80,83,78
218,VVV,Materials,Commodity Chemicals,S&P 400,177.95,84,63,66,53
219,CIT,Financials,Regional Banks,S&P 400,177.84,84,90,84,94
220,PFBC,Financials,Regional Banks,S&P 600,177.7,84,72,60,77
221,DXCM,Health Care,Health Care Equipment,S&P 500,177.68,83,92,42,18
222,HIG,Financials,Property & Casualty Insurance,S&P 500,176.84,83,83,58,77
223,LKQ,Consumer Discretionary,Distributors,S&P 500,175.7,83,77,83,67
224,VVI,Industrials,Diversified Support Services,S&P 600,172.22,83,65,94,82
225,PBH,Health Care,Pharmaceuticals,S&P 600,170.62,83,69,77,15
226,RGEN,Health Care,Biotechnology,S&P 400,170.26,83,97,37,58
227,VCEL,Health Care,Biotechnology,S&P 600,169.57,83,91,96,99
228,FOSL,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",S&P 600,169.39,83,53,95,92
229,JCOM,Information Technology,Application Software,S&P 400,168.98,83,84,93,82
230,TSLA,Consumer Discretionary,Automobile Manufacturers,S&P 500,168.17,83,80,66,93
231,MATX,Industrials,Marine,S&P 600,167.42,83,91,54,66
232,LKFN,Financials,Diversified Banks,S&P 600,166.81,83,57,14,45
233,TECH,Health Care,Life Sciences Tools & Services,S&P 500,166.73,83,94,83,78
234,UBA,Real Estate,Retail REITs,S&P 600,166.61,83,82,85,69
235,WSFS,Financials,Regional Banks,S&P 600,166.56,82,41,39,68
236,EXR,Real Estate,Specialized REITs,S&P 500,166.25,82,87,83,51
237,SWN,Energy,Oil & Gas Exploration & Production,S&P 600,165.76,82,83,89,51
238,CHDN,Consumer Discretionary,Casinos & Gaming,S&P 400,164.59,82,58,24,67
239,BRX,Real Estate,Retail REITs,S&P 400,164.56,82,78,87,80
240,TTGT,Communication Services,Interactive Media & Services,S&P 600,164.17,82,94,76,89
241,SIX,Consumer Discretionary,Leisure Facilities,S&P 400,161.72,82,63,79,94
242,CRWD,Information Technology,Application Software,Nasdaq 100,161.03,82,89,93,87
243,CADE,Financials,Diversified Banks,S&P 600,160.21,82,86,72,94
244,KEY,Financials,Regional Banks,S&P 500,160.2,82,68,55,72
245,MANH,Information Technology,Application Software,S&P 400,159.94,82,84,77,50
246,AMD,Information Technology,Semiconductors,S&P 500,159.88,82,75,53,18
247,ASGN,Industrials,Human Resource & Employment Services,S&P 400,159.65,82,77,41,77
248,INTU,Information Technology,Application Software,S&P 500,159.28,82,91,87,42
249,VREX,Health Care,Health Care Equipment,S&P 600,159.01,81,93,84,36
250,CAL,Consumer Discretionary,Apparel Retail,S&P 600,158.35,81,79,97,98
251,ODFL,Industrials,Trucking,S&P 500,157.99,81,83,54,57
252,HCA,Health Care,Health Care Facilities,S&P 500,157.7,81,93,91,64
253,CFR,Financials,Regional Banks,S&P 400,156.68,81,62,49,66
254,CSL,Industrials,Industrial Conglomerates,S&P 400,155.6,81,78,75,63
255,KRG,Real Estate,Retail REITs,S&P 600,155.24,81,64,78,82
256,MAA,Real Estate,Residential REITs,S&P 500,155.11,81,83,84,39
257,PFS,Financials,Thrifts & Mortgage Finance,S&P 600,154.97,81,60,53,68
258,THC,Health Care,Health Care Facilities,S&P 400,153.83,81,95,96,89
259,JHG,Financials,Asset Management & Custody Banks,S&P 400,153.8,81,90,81,57
260,EFX,Industrials,Research & Consulting Services,S&P 500,152.71,81,87,74,61
261,STC,Financials,Property & Casualty Insurance,S&P 600,151.06,81,64,52,57
262,HWKN,Materials,Commodity Chemicals,S&P 600,151.05,80,57,32,61
263,DBI,Consumer Discretionary,Apparel Retail,S&P 600,150.12,80,72,93,97
264,MPWR,Information Technology,Semiconductors,S&P 500,149.71,80,94,62,53
265,JBL,Information Technology,Electronic Manufacturing Services,S&P 400,149.56,80,82,74,73
266,HLT,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",S&P 500,149.56,80,61,60,65
267,UMBF,Financials,Regional Banks,S&P 400,149.25,80,67,67,81
268,SCVL,Consumer Discretionary,Apparel Retail,S&P 600,148.26,80,87,93,90
269,TTEK,Industrials,Environmental & Facilities Services,S&P 400,148.1,80,78,33,42
270,XLNX,Information Technology,Semiconductors,S&P 500,148.06,80,72,41,25
