Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
136,Electric Utilities,Utilities,-93.98,9,21,7,3,"AEP,ALE,D,DUK,ED,EIX,ETR,EVRG,FE,HE,IDA,LNT,PEG,PNM,PPL,SO,UTL,WEC"
137,Homefurnishing Retail,Consumer Discretionary,-113.53,9,55,83,89,"AAN,BBBY,HVT,RH,SNBR,WSM"
138,Health Care REITs,Real Estate,-117.16,8,3,16,15,"CHCT,CTRE,DHC,DOC,HCSG,HR,LTC,MPW,PEAK,SBRA,UHT,VTR,WELL"
139,Internet Services & Infrastructure,Information Technology,-118.11,7,8,13,0,"AKAM,CCSI,VRSN"
140,Housewares & Specialties,Consumer Discretionary,-121.99,7,5,42,98,"NWL,TUP"
141,Wireless Telecommunication Services,Communication Services,-122.88,6,10,50,9,"SHEN,TMUS"
142,General Merchandise Stores,Consumer Discretionary,-123.23,5,16,47,50,"BIG,DG,DLTR,KSS,OLLI,TGT"
143,Household Appliances,Consumer Discretionary,-131.97,5,11,3,23,"HELE,IRBT,WHR"
144,Household Products,Consumer Staples,-141.29,4,3,2,7,"CENT,CENTA,CHD,CL,CLX,ENR,EPC,KMB,WDFC"
145,Education Services,Consumer Discretionary,-147.54,3,2,0,4,"APEI,ATGE,GHC,LOPE,PRDO,STRA"
146,Motorcycle Manufacturers,Consumer Discretionary,-148.24,3,23,15,76,HOG
147,Security & Alarm Services,Industrials,-154.12,2,28,76,58,BCO
148,Interactive Home Entertainment,Communication Services,-163.09,1,1,6,7,"ATVI,EA,NTES,TTWO"
149,Gold,Materials,-167.75,1,0,0,1,NEM
150,Precious Metals & Minerals,Materials,-216.04,0,1,1,0,RGLD
151,Brewers,Consumer Staples,-311.81,0,0,14,43,"SAM,TAP"
