Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
325,LITB,Consumer Cyclical,Internet Retail,NYSE,135.01,94,71,90,52
326,ASR,Industrials,Airports & Air Services,NYSE,134.99,94,92,90,89
327,GLOP,Energy,Oil & Gas Midstream,NYSE,134.92,93,96,88,93
328,DECK,Consumer Cyclical,Footwear & Accessories,NYSE,134.92,93,92,92,91
329,BLDR,Industrials,Building Products & Equipment,NYSE,134.81,93,92,63,79
330,SGEN,Healthcare,Biotechnology,NASDAQ,134.74,93,93,40,41
331,BGCP,Financial Services,Capital Markets,NASDAQ,134.62,93,90,59,68
332,YRD,Financial Services,Credit Services,NYSE,134.52,93,98,87,6
333,SUMO,Technology,Software—Infrastructure,NASDAQ,134.43,93,93,28,31
334,CHUY,Consumer Cyclical,Restaurants,NASDAQ,134.33,93,92,88,73
335,ODC,Basic Materials,Specialty Chemicals,NYSE,134.27,93,92,93,28
336,BRBR,Consumer Defensive,Packaged Foods,NYSE,134.23,93,88,76,44
337,VOXX,Technology,Consumer Electronics,NASDAQ,134.22,93,88,51,53
338,OCUP,Healthcare,Biotechnology,NASDAQ,134.2,93,92,96,55
339,GANX,Healthcare,Biotechnology,NASDAQ,134.09,93,86,33,28
340,MANU,Consumer Cyclical,Leisure,NYSE,134.04,93,93,98,85
341,HQI,Industrials,Staffing & Employment Services,NASDAQ,134.03,93,94,80,35
342,TMHC,Consumer Cyclical,Residential Construction,NYSE,134.03,93,88,89,69
343,WOR,Industrials,Metal Fabrication,NYSE,133.86,93,83,73,52
344,OIS,Energy,Oil & Gas Equipment & Services,NYSE,133.84,93,97,96,43
345,PLYA,Consumer Cyclical,Resorts & Casinos,NASDAQ,133.7,93,91,43,31
346,DPRO,Industrials,Aerospace & Defense,NASDAQ,133.59,93,99,27,10
347,PETV,Healthcare,Medical Devices,NASDAQ,133.55,93,94,71,89
