Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
39,Insurance—Life,Financial Services,96.72,76,75,84,87,"VERY,NWLI,PRI,MFC,PRU,BHFAN,MET,UNM,BHFAP,BHFAO,LNC,CNO,GNW,GL,BHF,PUK,CIA"
40,Beverages—Non-Alcoholic,Consumer Defensive,96.63,75,74,61,63,"CELH,COKE,PRMW,KOF,CCEP,MNST,KO,PEP,FIZZ,KDP,OTLY"
41,"Furnishings, Fixtures & Appliances",Consumer Cyclical,96.1,75,78,37,29,"FLXS,LCUT,VIRC,KEQU,TILE,AMWD,TPX,MHK,LZB,HOFT,AUVIP,NTZ,BSET,LOVE,PRPL,EFOI,WHR,NVFY,SNBR,LEG,AUVI"
42,Lodging,Consumer Cyclical,95.51,74,31,43,67,"IHG,H,HLT,MAR,CHH,WH,HTHT,INTG,GHG"
43,Steel,Basic Materials,95.41,74,82,88,89,"USAP,FRD,X,ZEUS,RS,STLD,CLF,NUE,CMC,SID,PKX,SIM,MT,TX,ZKIN,GGB,MSB,HUDI"
44,Insurance—Diversified,Financial Services,95.39,73,70,53,75,"HIG,IGIC,EQH,FGFPP,ESGRP,ESGR,GSHD,ORI,PFG,SLF,ESGRO,FGF,WDH"
45,Publishing,Communication Services,95.32,72,59,32,62,"EDUC,DJCO,RELX,PSO,NYT,DALN,LEE,SCHL,GCI"
46,Financial Data & Stock Exchanges,Financial Services,95.16,72,70,81,80,"MORN,CBOE,ICE,CME,FDS,NDAQ,MCO,SPGI,MSCI,VALU"
47,Rental & Leasing Services,Industrials,94.8,71,80,88,83,"FTAI,URI,HRI,HEES,R,AL,MGRC,GATX,UHAL,PRG,WLFC,WSC,FPAY,CTOS,ALTG,CAR"
48,Packaging & Containers,Consumer Cyclical,94.44,70,58,67,70,"KRT,PACK,PTVE,WRK,PKG,UFPT,ATR,GPK,MYE,REYN,IP,SON,GEF,SLGN,AMCR,SEE,BERY,AMBP,CCK,TUP,OI"
49,Oil & Gas Refining & Marketing,Energy,94.36,70,74,82,94,"NGL,UGP,MPC,PSX,PBF,VLO,SUN,PARR,CVI,VVV,REX,DK,CAPL,CSAN,AMTX,CLNE,BPT,VTNR"
